,DATE,SURF_TEMP_C,YEAR,MONTH,DAY
140,4/24/1957,14.2,1957,4,24
141,4/25/1957,14.1,1957,4,25
142,4/26/1957,13.9,1957,4,26
143,4/27/1957,13.7,1957,4,27
144,4/28/1957,13.7,1957,4,28
145,4/29/1957,14.4,1957,4,29
146,4/30/1957,14.3,1957,4,30
147,5/1/1957,14.7,1957,5,1
148,5/2/1957,15.2,1957,5,2
149,5/3/1957,14.3,1957,5,3
150,5/4/1957,14.9,1957,5,4
151,5/5/1957,14,1957,5,5
152,5/6/1957,14.6,1957,5,6
153,5/7/1957,16.1,1957,5,7
154,5/8/1957,15.8,1957,5,8
155,5/9/1957,14.8,1957,5,9
156,5/10/1957,14.9,1957,5,10
157,5/11/1957,14.4,1957,5,11
158,5/12/1957,15,1957,5,12
159,5/13/1957,13,1957,5,13
160,5/14/1957,13.6,1957,5,14
161,5/15/1957,12.2,1957,5,15
162,5/16/1957,12.5,1957,5,16
163,5/17/1957,12.4,1957,5,17
164,5/18/1957,12.3,1957,5,18
165,5/19/1957,12.6,1957,5,19
166,5/20/1957,12.7,1957,5,20
167,5/21/1957,12.7,1957,5,21
168,5/22/1957,12.8,1957,5,22
169,5/23/1957,13,1957,5,23
170,5/24/1957,13.3,1957,5,24
171,5/25/1957,13.6,1957,5,25
172,5/26/1957,13.8,1957,5,26
173,5/27/1957,14.5,1957,5,27
174,5/28/1957,14.6,1957,5,28
175,5/29/1957,15.8,1957,5,29
176,5/30/1957,15.6,1957,5,30
177,5/31/1957,15.8,1957,5,31
178,6/1/1957,15.8,1957,6,1
179,6/2/1957,15.9,1957,6,2
180,6/3/1957,15.8,1957,6,3
181,6/4/1957,15.9,1957,6,4
182,6/5/1957,15.9,1957,6,5
183,6/6/1957,15.9,1957,6,6
184,6/7/1957,15.9,1957,6,7
185,6/8/1957,16.1,1957,6,8
186,6/9/1957,16,1957,6,9
187,6/10/1957,15,1957,6,10
188,6/11/1957,15.6,1957,6,11
189,6/12/1957,15.7,1957,6,12
190,6/13/1957,16.1,1957,6,13
191,6/14/1957,18.9,1957,6,14
192,6/15/1957,15.5,1957,6,15
193,6/16/1957,18.5,1957,6,16
194,6/17/1957,19.1,1957,6,17
195,6/18/1957,19.8,1957,6,18
196,6/19/1957,19.7,1957,6,19
197,6/20/1957,19.8,1957,6,20
198,6/21/1957,18.5,1957,6,21
199,6/22/1957,18.1,1957,6,22
200,6/23/1957,18.9,1957,6,23
201,6/24/1957,18.1,1957,6,24
202,6/25/1957,18.5,1957,6,25
203,6/26/1957,18.6,1957,6,26
204,6/27/1957,18.5,1957,6,27
205,6/28/1957,18.4,1957,6,28
206,6/29/1957,18.8,1957,6,29
207,6/30/1957,18.9,1957,6,30
208,7/1/1957,18.2,1957,7,1
209,7/2/1957,18.3,1957,7,2
210,7/3/1957,13.6,1957,7,3
211,7/4/1957,13.8,1957,7,4
212,7/5/1957,13.8,1957,7,5
213,7/6/1957,13.5,1957,7,6
214,7/7/1957,13.7,1957,7,7
215,7/8/1957,NaN,1957,7,8
216,7/9/1957,NaN,1957,7,9
217,7/10/1957,NaN,1957,7,10
218,7/11/1957,NaN,1957,7,11
219,7/12/1957,NaN,1957,7,12
220,7/13/1957,NaN,1957,7,13
221,7/14/1957,NaN,1957,7,14
222,7/15/1957,NaN,1957,7,15
223,7/16/1957,NaN,1957,7,16
224,7/17/1957,NaN,1957,7,17
225,7/18/1957,NaN,1957,7,18
226,7/19/1957,NaN,1957,7,19
227,7/20/1957,NaN,1957,7,20
228,7/21/1957,NaN,1957,7,21
229,7/22/1957,NaN,1957,7,22
230,7/23/1957,NaN,1957,7,23
231,7/24/1957,NaN,1957,7,24
232,7/25/1957,NaN,1957,7,25
233,7/26/1957,NaN,1957,7,26
234,7/27/1957,NaN,1957,7,27
235,7/28/1957,NaN,1957,7,28
236,7/29/1957,NaN,1957,7,29
237,7/30/1957,NaN,1957,7,30
238,7/31/1957,NaN,1957,7,31
239,8/1/1957,NaN,1957,8,1
240,8/2/1957,NaN,1957,8,2
241,8/3/1957,NaN,1957,8,3
242,8/4/1957,NaN,1957,8,4
243,8/5/1957,NaN,1957,8,5
244,8/6/1957,NaN,1957,8,6
245,8/7/1957,NaN,1957,8,7
246,8/8/1957,NaN,1957,8,8
247,8/9/1957,NaN,1957,8,9
248,8/10/1957,NaN,1957,8,10
249,8/11/1957,NaN,1957,8,11
250,8/12/1957,NaN,1957,8,12
251,8/13/1957,NaN,1957,8,13
252,8/14/1957,NaN,1957,8,14
253,8/15/1957,NaN,1957,8,15
254,8/16/1957,NaN,1957,8,16
255,8/17/1957,NaN,1957,8,17
256,8/18/1957,NaN,1957,8,18
257,8/19/1957,20.1,1957,8,19
258,8/20/1957,20.5,1957,8,20
259,8/21/1957,20.4,1957,8,21
260,8/22/1957,20.4,1957,8,22
261,8/23/1957,20.9,1957,8,23
262,8/24/1957,20.6,1957,8,24
263,8/25/1957,19.4,1957,8,25
264,8/26/1957,NaN,1957,8,26
265,8/27/1957,NaN,1957,8,27
266,8/28/1957,NaN,1957,8,28
267,8/29/1957,NaN,1957,8,29
268,8/30/1957,NaN,1957,8,30
269,8/31/1957,NaN,1957,8,31
270,9/1/1957,18,1957,9,1
271,9/2/1957,18,1957,9,2
272,9/3/1957,18.1,1957,9,3
273,9/4/1957,18.2,1957,9,4
274,9/5/1957,18.6,1957,9,5
275,9/6/1957,18.4,1957,9,6
276,9/7/1957,18.3,1957,9,7
277,9/8/1957,18.5,1957,9,8
278,9/9/1957,16.8,1957,9,9
279,9/10/1957,17.4,1957,9,10
280,9/11/1957,17.2,1957,9,11
281,9/12/1957,16.8,1957,9,12
282,9/13/1957,17.8,1957,9,13
283,9/14/1957,17.2,1957,9,14
284,9/15/1957,17.7,1957,9,15
285,9/16/1957,15.7,1957,9,16
286,9/17/1957,16.3,1957,9,17
287,9/18/1957,16.7,1957,9,18
288,9/19/1957,17,1957,9,19
289,9/20/1957,16.2,1957,9,20
290,9/21/1957,17,1957,9,21
291,9/22/1957,16.5,1957,9,22
292,9/23/1957,16.6,1957,9,23
293,9/24/1957,16.2,1957,9,24
294,9/25/1957,16.4,1957,9,25
295,9/26/1957,16.1,1957,9,26
296,9/27/1957,16,1957,9,27
297,9/28/1957,14.3,1957,9,28
298,9/29/1957,14.8,1957,9,29
299,9/30/1957,15,1957,9,30
300,10/1/1957,14.2,1957,10,1
301,10/2/1957,14.6,1957,10,2
302,10/3/1957,16,1957,10,3
303,10/4/1957,16.3,1957,10,4
304,10/5/1957,16.2,1957,10,5
305,10/6/1957,16.7,1957,10,6
306,10/7/1957,NaN,1957,10,7
307,10/8/1957,NaN,1957,10,8
308,10/9/1957,NaN,1957,10,9
309,10/10/1957,NaN,1957,10,10
310,10/11/1957,NaN,1957,10,11
311,10/12/1957,NaN,1957,10,12
312,10/13/1957,NaN,1957,10,13
313,10/14/1957,18,1957,10,14
314,10/15/1957,17.9,1957,10,15
315,10/16/1957,17.6,1957,10,16
316,10/17/1957,17.9,1957,10,17
317,10/18/1957,18.2,1957,10,18
318,10/19/1957,18.7,1957,10,19
319,10/20/1957,18,1957,10,20
320,10/21/1957,17.9,1957,10,21
321,10/22/1957,17.8,1957,10,22
322,10/23/1957,17.5,1957,10,23
323,10/24/1957,17.6,1957,10,24
324,10/25/1957,18,1957,10,25
325,10/26/1957,17.5,1957,10,26
326,10/27/1957,16.5,1957,10,27
327,10/28/1957,17.5,1957,10,28
328,10/29/1957,18.5,1957,10,29
329,10/30/1957,18.2,1957,10,30
330,10/31/1957,18.3,1957,10,31
331,11/1/1957,17.9,1957,11,1
332,11/2/1957,17.3,1957,11,2
333,11/3/1957,17,1957,11,3
334,11/4/1957,17.1,1957,11,4
335,11/5/1957,16.9,1957,11,5
336,11/6/1957,17.1,1957,11,6
337,11/7/1957,17,1957,11,7
338,11/8/1957,16.9,1957,11,8
339,11/9/1957,16.9,1957,11,9
340,11/10/1957,16,1957,11,10
341,11/11/1957,17,1957,11,11
342,11/12/1957,16.5,1957,11,12
343,11/13/1957,16.7,1957,11,13
344,11/14/1957,16.3,1957,11,14
345,11/15/1957,16.4,1957,11,15
346,11/16/1957,16.2,1957,11,16
347,11/17/1957,14.5,1957,11,17
348,11/18/1957,16.1,1957,11,18
349,11/19/1957,15.8,1957,11,19
350,11/20/1957,15.6,1957,11,20
351,11/21/1957,15.7,1957,11,21
352,11/22/1957,15.2,1957,11,22
353,11/23/1957,15.2,1957,11,23
354,11/24/1957,15.5,1957,11,24
355,11/25/1957,15.8,1957,11,25
356,11/26/1957,15.7,1957,11,26
357,11/27/1957,16,1957,11,27
358,11/28/1957,16.1,1957,11,28
359,11/29/1957,15.2,1957,11,29
360,11/30/1957,15,1957,11,30
361,12/1/1957,16,1957,12,1
362,12/2/1957,15.7,1957,12,2
363,12/3/1957,15.2,1957,12,3
364,12/4/1957,15.6,1957,12,4
365,12/5/1957,15.7,1957,12,5
366,12/6/1957,15.7,1957,12,6
367,12/7/1957,15.5,1957,12,7
368,12/8/1957,15.2,1957,12,8
369,12/9/1957,15.7,1957,12,9
370,12/10/1957,15.6,1957,12,10
371,12/11/1957,15.9,1957,12,11
372,12/12/1957,16,1957,12,12
373,12/13/1957,16.1,1957,12,13
374,12/14/1957,16,1957,12,14
375,12/15/1957,16.1,1957,12,15
376,12/16/1957,15.8,1957,12,16
377,12/17/1957,16,1957,12,17
378,12/18/1957,16.1,1957,12,18
379,12/19/1957,16.2,1957,12,19
380,12/20/1957,15.9,1957,12,20
381,12/21/1957,15.8,1957,12,21
382,12/22/1957,15.8,1957,12,22
383,12/23/1957,15.9,1957,12,23
384,12/24/1957,16.1,1957,12,24
385,12/25/1957,16,1957,12,25
386,12/26/1957,15.5,1957,12,26
387,12/27/1957,15.7,1957,12,27
388,12/28/1957,15.9,1957,12,28
389,12/29/1957,15.9,1957,12,29
390,12/30/1957,16,1957,12,30
391,12/31/1957,15.8,1957,12,31
392,1/1/1958,15.8,1958,1,1
393,1/2/1958,15.9,1958,1,2
394,1/3/1958,15.5,1958,1,3
395,1/4/1958,15.6,1958,1,4
396,1/5/1958,15.6,1958,1,5
397,1/6/1958,15.9,1958,1,6
398,1/7/1958,15.8,1958,1,7
399,1/8/1958,16.1,1958,1,8
400,1/9/1958,16,1958,1,9
401,1/10/1958,15.9,1958,1,10
402,1/11/1958,16.1,1958,1,11
403,1/12/1958,15.7,1958,1,12
404,1/13/1958,15.8,1958,1,13
405,1/14/1958,15.9,1958,1,14
406,1/15/1958,15.8,1958,1,15
407,1/16/1958,15.7,1958,1,16
408,1/17/1958,15.8,1958,1,17
409,1/18/1958,15.8,1958,1,18
410,1/19/1958,14.8,1958,1,19
